ENTREZID,SYMBOL,GENENAME
6349,CCL3L1,C-C motif chemokine ligand 3 like 1
414062,CCL3L3,C-C motif chemokine ligand 3 like 3
24147,FJX1,four-jointed box kinase 1
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
116,ADCYAP1,adenylate cyclase activating polypeptide 1
79572,ATP13A3,ATPase 13A3
24147,FJX1,four-jointed box kinase 1
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
650,BMP2,bone morphogenetic protein 2
23767,FLRT3,fibronectin leucine rich transmembrane protein 3
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
5205,ATP8B1,ATPase phospholipid transporting 8B1
84818,IL17RC,interleukin 17 receptor C
3563,IL3RA,interleukin 3 receptor subunit alpha
84818,IL17RC,interleukin 17 receptor C
54360,CYTL1,cytokine like 1
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
7114,TMSB4X,thymosin beta 4 X-linked
64850,ETNPPL,ethanolamine-phosphate phospho-lyase
5305,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
4832,NME3,NME/NM23 nucleoside diphosphate kinase 3
286,ANK1,ankyrin 1
8573,CASK,calcium/calmodulin dependent serine protein kinase
10418,SPON1,spondin 1
9934,P2RY14,purinergic receptor P2Y14
5734,PTGER4,prostaglandin E receptor 4
1306,COL15A1,collagen type XV alpha 1 chain
1296,COL8A2,collagen type VIII alpha 2 chain
7373,COL14A1,collagen type XIV alpha 1 chain
1287,COL4A5,collagen type IV alpha 5 chain
3685,ITGAV,integrin subunit alpha V
5445,PON2,paraoxonase 2
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
667,DST,dystonin
7146,TNXA,tenascin XA (pseudogene)
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
51778,MYOZ2,myozenin 2
56934,CA10,carbonic anhydrase 10
10418,SPON1,spondin 1
6695,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
815,CAMK2A,calcium/calmodulin dependent protein kinase II alpha
810,CALML3,calmodulin like 3
56934,CA10,carbonic anhydrase 10
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
558,AXL,AXL receptor tyrosine kinase
9584,RBM39,RNA binding motif protein 39
5518,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
2359,FPR3,formyl peptide receptor 3
9584,RBM39,RNA binding motif protein 39
7262,PHLDA2,pleckstrin homology like domain family A member 2
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
5518,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
6272,SORT1,sortilin 1
24147,FJX1,four-jointed box kinase 1
54360,CYTL1,cytokine like 1
8743,TNFSF10,TNF superfamily member 10
51540,SCLY,selenocysteine lyase
1363,CPE,carboxypeptidase E
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
64499,TPSB2,tryptase beta 2 (gene/pseudogene)
9934,P2RY14,purinergic receptor P2Y14
7262,PHLDA2,pleckstrin homology like domain family A member 2
5518,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha
9379,NRXN2,neurexin 2
9229,DLGAP1,DLG associated protein 1
54360,CYTL1,cytokine like 1
84818,IL17RC,interleukin 17 receptor C
5908,RAP1B,"RAP1B, member of RAS oncogene family"
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
90865,IL33,interleukin 33
7072,TIA1,TIA1 cytotoxic granule associated RNA binding protein
10179,RBM7,RNA binding motif protein 7
10252,SPRY1,sprouty RTK signaling antagonist 1
79728,PALB2,partner and localizer of BRCA2
9584,RBM39,RNA binding motif protein 39
6996,TDG,thymine DNA glycosylase
7832,BTG2,BTG anti-proliferation factor 2
4832,NME3,NME/NM23 nucleoside diphosphate kinase 3
4907,NT5E,5'-nucleotidase ecto
810,CALML3,calmodulin like 3
5902,RANBP1,RAN binding protein 1
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
8913,CACNA1G,calcium voltage-gated channel subunit alpha1 G
6424,SFRP4,secreted frizzled related protein 4
54360,CYTL1,cytokine like 1
2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
11075,STMN2,stathmin 2
7146,TNXA,tenascin XA (pseudogene)
4222,MEOX1,mesenchyme homeobox 1
6383,SDC2,syndecan 2
51778,MYOZ2,myozenin 2
810,CALML3,calmodulin like 3
3872,KRT17,keratin 17
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
3728,JUP,junction plakoglobin
84818,IL17RC,interleukin 17 receptor C
810,CALML3,calmodulin like 3
2205,FCER1A,Fc fragment of IgE receptor Ia
27306,HPGDS,hematopoietic prostaglandin D synthase
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
9536,PTGES,prostaglandin E synthase
810,CALML3,calmodulin like 3
2568,GABRP,gamma-aminobutyric acid type A receptor pi subunit
9229,DLGAP1,DLG associated protein 1
54360,CYTL1,cytokine like 1
2564,GABRE,gamma-aminobutyric acid type A receptor epsilon subunit
9934,P2RY14,purinergic receptor P2Y14
7146,TNXA,tenascin XA (pseudogene)
4222,MEOX1,mesenchyme homeobox 1
2331,FMOD,fibromodulin
9970,NR1I3,nuclear receptor subfamily 1 group I member 3
810,CALML3,calmodulin like 3
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
810,CALML3,calmodulin like 3
56934,CA10,carbonic anhydrase 10
5979,RET,ret proto-oncogene
54360,CYTL1,cytokine like 1
64499,TPSB2,tryptase beta 2 (gene/pseudogene)
9934,P2RY14,purinergic receptor P2Y14
84818,IL17RC,interleukin 17 receptor C
83483,PLVAP,plasmalemma vesicle associated protein
1734,DIO2,iodothyronine deiodinase 2
10149,ADGRG2,adhesion G protein-coupled receptor G2
54360,CYTL1,cytokine like 1
9934,P2RY14,purinergic receptor P2Y14
54997,TESC,tescalcin
64499,TPSB2,tryptase beta 2 (gene/pseudogene)
79728,PALB2,partner and localizer of BRCA2
9229,DLGAP1,DLG associated protein 1
54360,CYTL1,cytokine like 1
1134,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit
5997,RGS2,regulator of G protein signaling 2
9934,P2RY14,purinergic receptor P2Y14
8612,PLPP2,phospholipid phosphatase 2
9934,P2RY14,purinergic receptor P2Y14
150,ADRA2A,adrenoceptor alpha 2A
27286,SRPX2,sushi repeat containing protein X-linked 2
56934,CA10,carbonic anhydrase 10
23017,FAIM2,Fas apoptotic inhibitory molecule 2
